N [skt]	?N [skt]	U' [skt]	?U' [skt]	R [?]	?R [?]	U [V]	?U [V]
100.0	0.5	18.1	0.5	90.00	0.05	1.81	0.05
200.0	0.5	16.1	0.5	80.00	0.05	1.61	0.05
300.0	0.5	14.1	0.5	70.00	0.05	1.41	0.05
400.0	0.5	12.1	0.5	60.00	0.05	1.21	0.05
500.0	0.5	10.1	0.5	50.00	0.05	1.01	0.05
600.0	0.5	8.2	0.5	40.00	0.05	0.82	0.05
700.0	0.5	6.5	0.5	30.00	0.05	0.65	0.05
800.0	0.5	4.5	0.5	20.00	0.05	0.45	0.05
900.0	0.5	2.5	0.5	10.00	0.05	0.25	0.05
1000.0	0.5	0.5	0.5	0.00	0.05	0.05	0.05
